N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,4908,0,0.19866716202091028,0.10084879999999828,0.4038,0.1654,0.09769999999999732,0.037138857142857314,0.306920432774391,0.02108147103662763
150000,5000,8365,0,0.24116743404823138,0.10257807999999825,0.391,0.0911,0.09956791836734455,0.025861714285714005,0.5153435936136141,0.9925074237764371
150000,5000,5016,0,0.12138608210524926,0.09983447999999805,0.4234,0.2026,0.10015665306122175,0.05628538775510204,0.21831720448862008,0.8949168671468477
150000,5000,6445,0,0.2787133786473637,0.100328239999998,0.4198,0.0993,0.09828048979591543,0.014904244897959228,0.17825184825535492,-1.1980065084973324
150000,5000,7070,0,0.25887265346739474,0.10674191999999884,0.4075,0.1615,0.101317877551018,0.0243649795918371,0.41659800183451795,-1.1868144323239214
150000,5000,13602,0,0.3018016355309838,0.1000447999999989,0.3422,0.0779,0.09298620408163108,0.014328326530612194,0.7956300069327064,-0.6433199644088535
150000,5000,7987,0,0.08624451388138854,0.09381199999999831,0.396,0.1423,0.09471942857142586,0.06311102040816347,0.26159479280362297,3.61016078288218
150000,5000,8222,0,0.1291865642567248,0.10119783999999876,0.4038,0.1608,0.10043804081632356,0.05564677551020466,0.41822529310582224,2.013468459780017
150000,5000,9161,0,0.2238474044813824,0.10142703999999875,0.4117,0.0942,0.10045942857142613,0.028188734693877796,0.3407369328351668,1.2441105867896185
150000,5000,6980,0,0.11309563803363332,0.09300215999999915,0.3742,0.1582,0.09185755102040596,0.05634897959183755,0.36477161750199044,2.1794183674168797
150000,5000,5289,0,0.059569960566479785,0.09759607999999861,0.3933,0.2116,0.0955862857142832,0.07765812244897949,0.32472567915097195,2.357954236455837
150000,5000,8336,0,0.12537212189337066,0.09775951999999838,0.4,0.1375,0.09834718367346695,0.053608244897959206,0.37120688205192126,2.730919251072348
150000,5000,8912,0,0.1057972986740443,0.1027098399999988,0.3947,0.1564,0.09895118367346674,0.06716138775510268,0.45051487182439026,3.3799622877692372
150000,5000,9148,0,0.07245609093813254,0.10219935999999917,0.3946,0.2178,0.0981528163265283,0.07862718367346938,0.4183469384003234,2.259666077672616
150000,5000,8591,0,0.14832963359325102,0.09676079999999873,0.3882,0.1688,0.09333502040816072,0.05019224489795932,0.28194062390015323,1.2148959820101626
150000,5000,7145,0,0.14343102159680843,0.09877215999999878,0.3884,0.1282,0.09399175510203879,0.05399297959183699,0.3076633067195591,3.243103869683149
150000,5000,8341,0,0.1220839854868715,0.10316647999999916,0.3893,0.1537,0.09695624489795698,0.06447820408163296,0.4234758044215859,3.217316576559317
150000,5000,10831,0,0.0793401456366234,0.10484111999999828,0.399,0.1931,0.09877689795918157,0.08007869387755098,0.39899953367531216,3.13986419561833
150000,5000,8397,0,0.09080290907540589,0.10426207999999844,0.4013,0.1684,0.10113232653060975,0.0726750204081631,0.472058051951184,3.415566491525789
150000,5000,7395,0,0.08636593024560113,0.09742479999999909,0.3881,0.1922,0.09579657142856915,0.0680719999999998,0.3870672726340115,2.147146370883579
150000,5000,5249,0,0.12176617745224283,0.10511175999999853,0.4137,0.1614,0.0998401632653034,0.06474440816326633,0.29680188870876695,2.916548133639358
150000,5000,8198,0,0.12684736703746424,0.10013663999999858,0.395,0.1476,0.09697395918367119,0.05821044897959234,0.36522379891227025,2.805147217422467
150000,5000,7926,0,0.3456932122633396,0.10324399999999789,0.4096,0.0001,0.10038767346938532,1.1510204081632654e-05,0.3583958425068134,-0.6508427917471317
