N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,5983,0,0.12631867495296623,0.10124863999999853,0.3864,0.1526,0.09596808163265062,0.061108326530612336,0.4121772229351276,2.904823085881393
150000,5000,10516,0,0.1975594640748225,0.10162799999999833,0.3893,0.1314,0.09572179591836515,0.04047257142857004,0.371426328103481,1.388982663530123
150000,5000,7124,0,0.114083145850992,0.10158807999999898,0.3884,0.1945,0.09794506122448739,0.06362024489795909,0.4747369773587539,1.703111755690363
150000,5000,8181,0,0.10889017947294155,0.09862783999999876,0.4014,0.1441,0.09777053061224239,0.060745142857142706,0.3335498107430558,3.250334561341593
150000,5000,12026,0,0.17375878244748988,0.10591255999999814,0.4105,0.1014,0.10121665306122159,0.04789289795918429,0.38272539475296175,4.078669126456222
150000,5000,6397,0,0.2664173654067171,0.09717903999999877,0.3926,0.0972,0.09795289795918123,0.01463061224489798,0.43078625851357694,-1.1909214924303597
150000,5000,8187,0,0.10670590705587801,0.10156663999999824,0.4188,0.1468,0.10017126530611922,0.06379077551020336,0.2615395031908283,3.4634593607199964
150000,5000,6346,0,0.07016210733615946,0.1069719199999986,0.4199,0.2035,0.10511093877550813,0.08077967346938833,0.4443648808948905,2.8490114753822073
150000,5000,10918,0,0.12089510856951957,0.10038967999999886,0.3821,0.1464,0.09824351020407959,0.059225387755101895,0.5557988982756068,2.9717263011972257
150000,5000,9304,0,0.10355993854895151,0.1024274399999985,0.4048,0.168,0.10007281632652777,0.0663342040816334,0.3933296012756667,2.8135413817426063
150000,5000,8267,0,0.3219863303297982,0.0997918399999986,0.3893,0.0895,0.09533004081632422,0.0070314285714286285,0.3549083121763114,-2.3684662662155187
150000,5000,10850,0,0.12416822962365026,0.10063583999999835,0.4137,0.1406,0.10113273469387517,0.05567665306122484,0.34809013470848243,2.8312899394107203
150000,5000,7598,0,0.1758494375616313,0.09936703999999838,0.4019,0.142,0.0969366530612221,0.04235567346938807,0.2945176483228236,1.2297354580001572
150000,5000,4311,0,0.1156496594673001,0.10024711999999818,0.4198,0.1883,0.09976285714285449,0.059164408163265195,0.23621702109850656,1.491565973164237
150000,5000,7061,0,0.116799485894034,0.10201823999999834,0.4026,0.1921,0.10154171428571122,0.05981681632653085,0.4753933299259448,1.4453803145313449
150000,5000,8553,0,0.11277316340106613,0.10269639999999867,0.4134,0.1492,0.09902277551020114,0.06473926530612263,0.26721975765340167,3.4532082597446476
150000,5000,7530,0,0.14333633426495007,0.09829639999999847,0.3963,0.1378,0.0934072653061201,0.053893142857141876,0.20427299659442108,2.7509070685501693
150000,5000,11203,0,0.11088984905717458,0.09515143999999921,0.3702,0.1765,0.09336644897958976,0.05894408163265341,0.47520473570238003,1.8153885992844812
150000,5000,5954,0,0.10237904262350461,0.09782367999999818,0.4164,0.1791,0.09749053061224196,0.061816897959183735,0.17848820342115887,1.9989723845515122
150000,5000,9728,0,0.18026374423397418,0.10305759999999843,0.3923,0.1106,0.09853738775509972,0.044617142857143285,0.4583740346837317,2.951025946380107
150000,5000,12221,0,0.14077160965381486,0.09721799999999875,0.3866,0.1086,0.0952024489795895,0.051246612244898015,0.3775608592378749,4.07244085226103
150000,5000,5599,0,0.09842118154927648,0.09907375999999796,0.3945,0.1599,0.09548269387754844,0.06715583673469391,0.308281197571912,3.225440641345837
150000,5000,10855,0,0.12495094872113444,0.10301191999999898,0.3901,0.1788,0.09970946938775287,0.060547265306123185,0.5309423258051775,1.892019421609701
150000,5000,11439,0,0.23358193611983802,0.09409847999999883,0.3658,0.1072,0.09341820408163064,0.023507591836734978,0.5273150001089737,-0.06496926310190217
150000,5000,11391,0,0.3646140544567028,0.10468399999999915,0.3739,0.0002,0.097469551020406,1.551020408163265e-05,0.6143669842726724,-1.1643484187206985
